workload	sample	cell	wall_seconds	cpu_seconds	peak_rss_kib	allocated_bytes	transcript_sha256
state-thread	1	B1	8.129815	7.880000	4940648	20424768	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	B2	8.030843	7.750000	4938032	20446424	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	C2	5.811378	5.910000	3591448	21402824	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	C1	7.768369	7.480000	4937632	20473808	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
continuation	1	B2	7.645093	7.420000	4938228	26519040	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	C1	8.150894	7.890000	4936904	26623496	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	B1	7.775469	7.470000	4941836	26499016	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	C2	5.791405	5.840000	3562308	27545632	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
library-map	1	C1	8.194294	7.950000	4938368	33377536	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	1	C2	6.065363	6.130000	3572292	34381712	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	1	B2	8.173450	7.860000	4946780	33390432	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	1	B1	7.806628	7.560000	4943280	33304176	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	2	B2	7.678455	7.450000	4947432	33389896	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	2	C1	7.887315	7.630000	4941144	33386984	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	2	B1	7.935712	7.660000	4942048	33304472	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	2	C2	5.925478	5.960000	3568708	34379304	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
continuation	2	C1	7.699151	7.440000	4937872	26621600	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	C2	5.698772	5.760000	3514356	27555616	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	B2	7.672778	7.450000	4942920	26517552	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	B1	7.659224	7.410000	4940860	26497424	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
state-thread	2	C2	5.759174	5.820000	3574472	21403320	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	2	B1	8.212901	7.950000	4937912	20426504	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	2	C1	7.888718	7.660000	4938080	20472160	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	2	B2	7.657261	7.410000	4940328	20446328	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	3	C1	7.738199	7.500000	4939236	20465528	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	3	C2	5.740202	5.830000	3607124	21401392	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	3	B2	7.689584	7.480000	4940160	20440824	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	3	B1	7.676245	7.410000	4940756	20424664	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
