workload	sample	cell	wall_seconds	cpu_seconds	peak_rss_kib	allocated_bytes	transcript_sha256
continuation	4	C4	3.482801	3.920000	4750244	20621880	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	4	B1	5.097792	4.840000	4910156	17779528	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	4	B4	3.151103	3.300000	3578336	19400176	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	4	C1	4.873960	4.580000	4911256	17781584	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	4	C2	3.081664	3.180000	3536488	19354272	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	4	B2	3.101910	3.160000	3514108	19371808	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
state-thread	4	B4	2.973350	3.070000	3567460	13323704	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	4	C4	3.495257	3.990000	4674620	14556392	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	4	C2	3.164601	3.280000	3567904	13307200	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	4	B1	4.902064	4.640000	4913216	11710704	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	4	B2	2.968817	3.080000	3549164	13298440	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	4	C1	4.827507	4.600000	4914020	11708784	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	5	C4	3.519217	4.130000	4649728	14553008	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	5	B1	5.000843	4.740000	4914476	11707880	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	5	B4	3.079269	3.180000	3588696	13324032	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	5	C1	4.934570	4.700000	4910800	11709688	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	5	C2	2.972780	3.060000	3546672	13294984	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	5	B2	2.942854	3.030000	3555708	13301760	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
continuation	5	B1	4.790087	4.570000	4910312	17779592	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	5	C1	4.831548	4.590000	4914000	17782480	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	5	C4	3.676733	4.230000	4729088	20618688	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	5	B2	3.251434	3.740000	3585732	19371952	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	5	B4	3.003380	3.070000	3590556	19395784	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	5	C2	2.957042	3.010000	3554544	19371352	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
