workload	sample	cell	wall_seconds	cpu_seconds	peak_rss_kib	allocated_bytes	transcript_sha256
state-thread	1	B1	7.769859	7.570000	4984792	20436392	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	B2	5.765500	5.860000	3644436	21365784	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	C2	2.943207	3.000000	3574288	13326760	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	C1	4.878093	4.640000	4941860	11734992	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	D1	7.845416	7.400000	4993328	20437312	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	1	D2	7.920799	7.660000	5013216	23815440	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
continuation	1	B2	5.696213	5.780000	3639192	27438312	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	C1	4.822533	4.580000	4938192	17888456	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	B1	7.698691	7.450000	4987196	26503016	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	C2	2.995564	3.140000	3626480	19479424	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	D2	7.739632	7.490000	5013828	29967200	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	1	D1	7.686001	7.460000	4986712	26504080	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
library-map	1	C1	4.904134	4.650000	4941632	24646112	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	1	C2	2.993200	3.060000	3527720	26310792	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	1	B2	5.819052	5.900000	3656812	34308216	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	1	B1	7.788998	7.580000	4988308	33302656	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	1	D1	7.900072	7.630000	4986928	33309184	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	1	D2	8.038136	7.730000	5012188	36723512	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	2	B2	6.035576	6.160000	3661096	34304544	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	2	C1	4.948800	4.720000	4939924	24646048	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	2	B1	7.713204	7.500000	4989056	33308464	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	2	C2	3.092231	3.160000	3595344	26308952	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	2	D2	7.811698	7.570000	5012400	36728192	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
library-map	2	D1	7.688618	7.480000	4989008	33309512	5cc74a4cb216329ee5c4b3c8db6a4ef4403ac1b7193d5ec9d3f8ed93e0010d6d
continuation	2	C1	4.875814	4.610000	4938092	17888400	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	C2	3.127059	3.230000	3619724	19472496	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	B2	6.151892	6.210000	3649456	27436752	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	B1	7.798266	7.570000	4986124	26500440	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	D1	7.675733	7.430000	4989512	26502152	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
continuation	2	D2	8.159852	7.850000	5011920	29967960	dbdc8ef04e90278fd773e07bc8477f3b5f59e1fbf2370910c0baaf7303dec9e7
state-thread	2	C2	3.090451	3.240000	3585836	13325288	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	2	B1	8.016248	7.740000	4986620	20436464	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	2	C1	5.212966	4.770000	4940000	11736960	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	2	B2	5.761173	5.830000	3630340	21367088	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	2	D2	7.702970	7.440000	4993392	23814592	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	2	D1	7.731944	7.470000	4989480	20436464	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	3	C1	4.886380	4.650000	4939148	11734784	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	3	C2	3.109148	3.160000	3573512	13326640	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	3	B2	5.845691	5.880000	3638780	21366192	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	3	B1	7.778478	7.540000	4986108	20438336	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	3	D1	7.651040	7.440000	4988132	20430600	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
state-thread	3	D2	7.789697	7.540000	5013816	23814520	ce055ee44eb7e6d8f8b969a32e9cd2dd85855e9646190a712a45ad2e55bddb6c
